tournament,year,date,home_team,away_team,actual_home,actual_away,model_home,model_draw,model_away,book_home,book_draw,book_away,tvd,model_favorite,book_favorite,favorite_flip,model_prediction,model_points,model_decision_margin,blend00_prediction,blend00_points,blend00_decision_margin,blend005_prediction,blend005_points,blend005_decision_margin,blend01_prediction,blend01_points,blend01_decision_margin,blend015_prediction,blend015_points,blend015_decision_margin,blend02_prediction,blend02_points,blend02_decision_margin,blend025_prediction,blend025_points,blend025_decision_margin,blend03_prediction,blend03_points,blend03_decision_margin,blend035_prediction,blend035_points,blend035_decision_margin,blend04_prediction,blend04_points,blend04_decision_margin,blend045_prediction,blend045_points,blend045_decision_margin,blend05_prediction,blend05_points,blend05_decision_margin,blend055_prediction,blend055_points,blend055_decision_margin,blend06_prediction,blend06_points,blend06_decision_margin,blend065_prediction,blend065_points,blend065_decision_margin,blend07_prediction,blend07_points,blend07_decision_margin,blend075_prediction,blend075_points,blend075_decision_margin,blend08_prediction,blend08_points,blend08_decision_margin,blend085_prediction,blend085_points,blend085_decision_margin,blend09_prediction,blend09_points,blend09_decision_margin,blend095_prediction,blend095_points,blend095_decision_margin,blend10_prediction,blend10_points,blend10_decision_margin
Gold Cup,2019,2019-06-23,Martinique,Mexico,2,3,0.05178790447647846,0.13691891438743103,0.8112931811360905,0.01334601435177664,0.04677969041564969,0.9398742952327812,0.12858111409658693,away,away,False,0-2,1,0.07674623370277844,0-2,1,0.08918111942051277,0-2,1,0.08857109062466084,0-2,1,0.08796106182880892,0-2,1,0.08735103303295721,0-2,1,0.08674100423710485,0-2,1,0.08613097544125314,0-2,1,0.08552094664540055,0-2,1,0.08491091784954885,0-2,1,0.0843008890536967,0-2,1,0.08369086025784434,0-2,1,0.08308083146199263,0-2,1,0.08247080266614026,0-2,1,0.08186077387028812,0-2,1,0.08125074507443575,0-2,1,0.0806407162785836,0-2,1,0.08003068748273123,0-2,1,0.07942065868687909,0-2,1,0.07881062989102672,0-2,1,0.07820060109517457,0-2,1,0.07759057229932242,0-2,1,0.07698054350347028
Gold Cup,2019,2019-06-23,Canada,Cuba,7,0,0.6911791238945988,0.19877258636419612,0.1100482897412051,0.9583062547657676,0.03429222642315745,0.007401518811000727,0.26712713087120593,home,home,False,2-0,1,0.060197390539208584,2-0,1,0.0835314291810656,2-0,1,0.0823672131017199,2-0,1,0.08120299702237443,2-0,1,0.08003878094302896,2-0,1,0.0788745648636835,2-0,1,0.07771034878433825,2-0,1,0.076546132704993,2-0,1,0.07538191662564753,2-0,1,0.07421770054630228,2-0,1,0.07305348446695681,2-0,1,0.07188926838761156,2-0,1,0.07072505230826609,2-0,1,0.06956083622892084,2-0,1,0.0683966201495756,2-0,1,0.06723240407023034,2-0,1,0.06606818799088487,2-0,1,0.06490397191153963,2-0,1,0.06373975583219416,2-0,1,0.06257553975284891,2-0,1,0.06141132367350388,2-0,1,0.06024710759415819
Gold Cup,2019,2019-06-22,United States,Trinidad and Tobago,6,0,0.6712921211295305,0.20602863055378545,0.12267924831668406,0.8106277708924693,0.13252401281160564,0.05684821629632823,0.1393356497627372,home,home,False,2-0,1,0.0515018610964999,2-0,1,0.062236274349156684,2-0,1,0.06170139681123987,2-0,1,0.06116651927332284,2-0,1,0.060631641735405584,2-0,1,0.06009676419748833,2-0,1,0.05956188665957107,2-0,1,0.059027009121653595,2-0,1,0.05849213158373656,2-0,1,0.057957254045819306,2-0,1,0.05742237650790161,2-0,1,0.056887498969984795,2-0,1,0.05635262143206754,2-0,1,0.05581774389414984,2-0,1,0.055282866356232585,2-0,1,0.05474798881831511,2-0,1,0.05421311128039741,2-0,1,0.05367823374247993,2-0,1,0.0531433562045629,2-0,1,0.052608478666645864,2-0,1,0.05207360112872772,2-0,1,0.05153872359081069
Gold Cup,2019,2019-06-22,Guyana,Panama,2,4,0.06053426773625188,0.15083920839182577,0.7886265238719223,0.011193265038692286,0.06835017579848972,0.9204565591629181,0.13183003529094572,away,away,False,0-2,1,0.0933436033247661,0-2,1,0.10918977266470797,0-2,1,0.10840785137572895,0-2,1,0.10762593008675081,0-2,1,0.10684400879777156,0-2,1,0.1060620875087932,0-2,1,0.10528016621981395,0-2,1,0.10449824493083493,0-2,1,0.1037163236418559,0-2,1,0.10293440235287687,0-2,1,0.10215248106389829,0-2,1,0.10137055977491882,0-2,1,0.1005886384859398,0-2,1,0.09980671719696144,0-2,1,0.09902479590798241,0-2,1,0.09824287461900316,0-2,1,0.09746095333002414,0-2,1,0.09667903204104555,0-2,1,0.0958971107520663,0-2,1,0.0951151894630875,0-2,1,0.0943332681741087,0-2,1,0.09355134688512945
Gold Cup,2019,2019-06-21,Honduras,Curaçao,0,1,0.6693025308954511,0.24515177840152627,0.08554569070302256,0.6778677385296076,0.20443823104674508,0.11769403042313298,0.04071354735452404,home,home,False,1-0,0,0.059399389455635276,1-0,0,0.06017002073579025,1-0,0,0.0601320067773381,1-0,0,0.0600939928188855,1-0,0,0.060055978860433346,1-0,0,0.06001796490198075,1-0,0,0.05997995094352837,1-0,0,0.05994193698507555,1-0,0,0.05990392302662362,1-0,0,0.0598659090681708,1-0,0,0.05982789510971842,1-0,0,0.05978988115126582,1-0,0,0.05975186719281367,1-0,0,0.05971385323436129,1-0,0,0.05967583927590869,1-0,0,0.05963782531745654,1-0,0,0.05959981135900394,1-0,0,0.05956179740055134,1-0,0,0.059523783442098965,1-0,0,0.05948576948364659,1-0,0,0.05944775552519421,1-0,0,0.05940974156674206
Gold Cup,2019,2019-06-21,El Salvador,Jamaica,0,0,0.29529198946895463,0.30622045373743517,0.3984875567936102,0.29295453609505234,0.35691280539710873,0.35013265850830144,0.0506923516594423,away,draw,True,0-1,0,0.08414874744643497,0-0,3,0.03099964188791693,0-0,3,0.03077949781853373,0-0,3,0.030559353749150753,0-0,3,0.030339209679767554,0-0,3,0.023055514884746442,0-0,3,0.013804281052993361,0-0,3,0.004553047221238726,0-1,0,0.004698186610515909,0-1,0,0.013949420442270655,0-1,0,0.02320065427402629,0-1,0,0.032451888105782034,0-1,0,0.041703121937538445,0-1,0,0.05095435576929497,0-1,0,0.060205589601052156,0-1,0,0.06945682343280946,0-1,0,0.07870805726456764,0-1,0,0.08210804806245875,0-1,0,0.08261861352519184,0-1,0,0.08312917898792471,0-1,0,0.08363974445065814,0-1,0,0.08415030991339123
Gold Cup,2019,2019-06-20,Costa Rica,Bermuda,2,1,0.9032145974659072,0.07486343247360557,0.0219219700604873,0.9338161734690044,0.0511517446270754,0.015032081903543564,0.030601576003285558,home,home,False,3-0,1,0.02101482374309316,3-0,1,0.02203929946728933,3-0,1,0.02200318757948594,3-0,1,0.021967075691682103,3-0,1,0.02193096380387871,3-0,1,0.021894851916074654,3-0,1,0.021858740028271262,3-0,1,0.021822628140467648,3-0,1,0.021786516252663812,3-0,1,0.02175040436486042,3-0,1,0.021714292477056585,3-0,1,0.021678180589253415,3-0,1,0.021642068701449357,3-0,1,0.021605956813645744,3-0,1,0.021569844925842352,3-0,1,0.021533733038038294,3-0,1,0.021497621150234902,3-0,1,0.02146150926243129,3-0,1,0.02142539737462723,3-0,1,0.021389285486823617,3-0,1,0.021353173599020225,3-0,1,0.02131706171121661
Gold Cup,2019,2019-06-20,Nicaragua,Haiti,0,2,0.19417299552680953,0.3035456812837953,0.5022813231893952,0.15129558306616134,0.23490765649934675,0.6137967604349597,0.11151543724533058,away,away,False,0-1,1,0.09886908677487971,0-1,1,0.12082377170681025,0-1,1,0.11972620027926184,0-1,1,0.11862862885171266,0-1,1,0.11753105742416414,0-1,1,0.1164334859966144,0-1,1,0.11533591456906556,0-1,1,0.11423834314151737,0-1,1,0.11314077171396841,0-1,1,0.11204320028641812,0-1,1,0.11094562885886894,0-1,1,0.1098480574313202,0-1,1,0.10875048600377035,0-1,1,0.10765291457622139,0-1,1,0.10655534314867177,0-1,1,0.10545777172112225,0-1,1,0.10436020029357262,0-1,1,0.10326262886602311,0-1,1,0.10216505743847337,0-1,1,0.10106748601092364,0-1,1,0.09996991458337412,0-1,1,0.09887234315582405
Gold Cup,2019,2019-06-19,Mexico,Canada,3,1,0.6465972287039028,0.23106085975459975,0.12234191154149754,0.702251027194556,0.19342810010240102,0.10432087270261042,0.05565379849086953,home,home,False,2-0,1,0.011035121186380392,2-0,1,0.011988683208085105,2-0,1,0.011941177705522943,2-0,1,0.011893672202960559,2-0,1,0.011846166700398397,2-0,1,0.011798661197836013,2-0,1,0.011751155695273852,2-0,1,0.011703650192711468,2-0,1,0.011656144690149528,2-0,1,0.011608639187587144,2-0,1,0.011561133685024982,2-0,1,0.011513628182462377,2-0,1,0.011466122679900437,2-0,1,0.011418617177338275,2-0,1,0.011371111674775891,2-0,1,0.011323606172213951,2-0,1,0.011276100669651568,2-0,1,0.011228595167089184,2-0,1,0.011181089664527022,2-0,1,0.01113358416196486,2-0,1,0.011086078659402698,2-0,1,0.011038573156840092
Gold Cup,2019,2019-06-19,Cuba,Martinique,0,3,0.2223281455295621,0.25733067660886844,0.5203411778615694,0.1057575664741356,0.17311540298590064,0.7211270305404499,0.20078585267863738,away,away,False,0-2,1,0.007289631913869221,0-2,1,0.010104057362363639,0-2,1,0.009963392008889516,0-2,1,0.00982272665541517,0-2,1,0.009682061301941047,0-2,1,0.009541395948466702,0-2,1,0.009400730594992579,0-2,1,0.009260065241518234,0-2,1,0.009119399888044333,0-2,1,0.00897873453457021,0-2,1,0.008838069181095864,0-2,1,0.00869740382762152,0-2,1,0.008556738474147396,0-2,1,0.00841607312067294,0-2,1,0.008275407767198817,0-2,1,0.008134742413724472,0-2,1,0.007994077060250238,0-2,1,0.007853411706776114,0-2,1,0.007712746353301769,0-2,1,0.007572080999827535,0-2,1,0.007431415646353079,0-2,1,0.007290750292878734
Gold Cup,2019,2019-06-18,United States,Guyana,4,0,0.88915653071281,0.08532397884791405,0.025519490439275965,0.9638211493489304,0.03087237558382262,0.005306475066797548,0.07466461863634512,home,home,False,2-0,1,3.112739504440576e-05,2-0,1,3.409581720137389e-05,2-0,1,3.396375166220267e-05,2-0,1,3.383168612325349e-05,2-0,1,3.36996205847484e-05,2-0,1,3.3567555045799224e-05,2-0,1,3.343548950707209e-05,2-0,1,3.330342396790087e-05,2-0,1,3.3171358429617825e-05,2-0,1,3.303929289066865e-05,2-0,1,3.2907227351497426e-05,2-0,1,3.277516181277029e-05,2-0,1,3.2643096274265204e-05,2-0,1,3.251103073509398e-05,2-0,1,3.237896519636685e-05,2-0,1,3.224689965741767e-05,2-0,1,3.211483411869054e-05,2-0,1,3.1982768579963405e-05,2-0,1,3.185070304123627e-05,2-0,1,3.1718637502731184e-05,2-0,1,3.158657196355996e-05,2-0,1,3.145450642483283e-05
Gold Cup,2019,2019-06-18,Panama,Trinidad and Tobago,2,0,0.5172232962614226,0.26247641023550833,0.220300293503069,0.5394074817723702,0.2846282647053953,0.17596425352171688,0.04433603998109335,home,home,False,1-0,1,0.004121068168055908,1-0,1,0.004298369212826114,1-0,1,0.004289530271651132,1-0,1,0.004280691330476261,1-0,1,0.004271852389301611,1-0,1,0.004263013448126629,1-0,1,0.004254174506951869,1-0,1,0.0042453355657769976,1-0,1,0.004236496624602126,1-0,1,0.004227657683427255,1-0,1,0.004218818742252495,1-0,1,0.0042099798010777345,1-0,1,0.004201140859902863,1-0,1,0.004192301918727992,1-0,1,0.004183462977553232,1-0,1,0.0041746240363784715,1-0,1,0.004165785095203489,1-0,1,0.004156946154028729,1-0,1,0.004148107212853747,1-0,1,0.004139268271679097,1-0,1,0.004130429330504226,1-0,1,0.004121590389329355
