year,game_id,team1,team2,disagreement,model_home,model_draw,model_away,book_home,book_draw,book_away,model_favorite,book_favorite,favorite_flip,model_prediction,blend_prediction,prediction_changed,actual,model_points,blend_points,delta
2014,2,Mexico,Cameroon,0.024046145146460085,0.46669452265371814,0.2826379468022806,0.2506675305440012,0.44264837750700703,0.3039346352774424,0.25341698721504846,home,home,False,2-0,2-0,False,1-0,1,1,0
2014,3,Spain,Netherlands,0.07688262419495298,0.4494067964417005,0.31179438189541564,0.23879882166288385,0.5262894206364053,0.28666958133761333,0.18704099802548496,home,home,False,1-0,1-0,False,1-5,0,0,0
2014,4,Chile,Australia,0.15114258972694927,0.5331721196911575,0.25852855602715535,0.20829932428168718,0.6843147094178696,0.2127737361594717,0.10291155442218444,home,home,False,2-0,2-0,False,3-1,1,1,0
2014,5,Colombia,Greece,0.07701199140557176,0.44910458319114716,0.3403102643000447,0.21058515250880822,0.5261165745964644,0.2920027992503992,0.18188062615262748,home,home,False,1-0,1-0,False,3-0,1,1,0
2014,6,Uruguay,Costa Rica,0.04561119539182998,0.6306690868156445,0.22826930478537122,0.14106160839898432,0.6762802822076976,0.22468284432639402,0.09903687346635473,home,home,False,2-0,2-0,False,1-3,0,0,0
2014,7,England,Italy,0.07113804332226756,0.4548603924261191,0.2865113712329424,0.25862823634093846,0.38372234910409064,0.3204326778181763,0.2958449730782112,home,home,False,2-0,2-0,False,1-2,0,0,0
2014,8,Ivory Coast,Japan,0.12338833850930453,0.48103791952851754,0.24953720394253998,0.2694248765289425,0.3576495810189643,0.2874338253267819,0.3549165936537564,home,home,False,2-1,2-1,False,2-1,3,3,0
2014,9,Switzerland,Ecuador,0.07045577770646477,0.3295257965893397,0.30630007149536015,0.3641741319153002,0.39998157429605813,0.29607547571799864,0.30394294998645055,away,home,True,0-1,1-0,True,2-1,0,1,1
2014,10,France,Honduras,0.18884932909085772,0.58529949838936,0.2714710594897704,0.14322944212086955,0.7741488274804718,0.1568259620232782,0.06902521049675808,home,home,False,1-0,1-0,False,3-0,1,1,0
2014,11,Argentina,Bosnia and Herzegovina,0.0991400093800136,0.646424067025618,0.2032978339442656,0.1502780990301164,0.7455640764054097,0.1677969935978877,0.08663892999625873,home,home,False,2-0,2-0,False,2-1,2,2,0
2014,12,Germany,Portugal,0.08544302103877086,0.38457152606081224,0.269242101091545,0.3461863728476428,0.4668383148720366,0.2724183333188426,0.260743351808623,home,home,False,2-1,2-1,False,4-0,1,1,0
2014,13,Iran,Nigeria,0.1278673126452131,0.2922467139989413,0.3091722311049161,0.39858105489614254,0.19629751328325523,0.27725411917564363,0.5264483675416102,away,away,False,0-1,0-1,False,0-0,0,0,0
2014,14,Ghana,United States,0.03739776749243384,0.360915713621341,0.30143771819029225,0.33764656818836664,0.39831348111352755,0.2813221073716826,0.3203644115142951,home,home,False,1-0,1-0,False,1-2,0,0,0
