year,game_id,lh_raw,la_raw,market_total,p_home,p_draw,p_away,actual_home,actual_away,rho
2014,18,0.6956245496553362,1.7589902237030484,3.074668916585473,0.06839762421325253,0.14283224564908684,0.7887701301381069,2,3,-0.0318514961972748
2014,19,1.5254428509827305,0.705847140589474,3.0358064911883944,0.6192126394332097,0.21340724362217553,0.1673801169441381,0,2,-0.0318514961972748
2014,20,0.9158675889710539,1.2550775858607222,2.6419194356202227,0.1696354687298069,0.24264603321819578,0.5877184980514858,0,4,-0.0318514961972748
2014,21,1.2493012557092207,1.0037786355945648,2.577121250418951,0.47852378070204094,0.27229272076329075,0.24918349853517105,2,1,-0.0318514961972748
2014,22,1.1425280168650522,1.3146739097838067,2.906254865086628,0.2536042840515198,0.2543097284425134,0.49208598750548677,2,1,-0.0318514961972748
2014,23,0.9983458095449345,1.0294622811216574,2.494539737072594,0.40358610160120684,0.28511499402784407,0.3112989043714289,0,0,-0.0318514961972748
2014,24,1.4967880099661006,0.743347713036927,2.569387119931863,0.6239398444616753,0.23628888138889137,0.1397712741489359,0,1,-0.0318514961972748
2014,25,0.7242456051365784,1.0760266673227055,2.416564103811151,0.2020031034418269,0.2728447125219069,0.5251521840357625,2,5,-0.0318514961972748
2014,26,0.8255921455001193,1.4928361483365218,2.812082797708414,0.1628125383839041,0.22879667228105902,0.6083907893355364,1,2,-0.0318514961972748
2014,27,2.017127873768591,0.6415644289037025,3.123067119723381,0.8564101109623482,0.10619002852590392,0.03739986051138052,1,0,-0.0318514961972748
2014,28,1.8549254570202893,0.9394028480959854,3.183929123106024,0.7323813327456075,0.16883795822175893,0.09878070903310791,2,2,-0.0318514961972748
2014,29,1.1979609621827487,1.3400176874220742,2.743295002148938,0.22417476869832734,0.2632113142913236,0.5126139170108585,1,0,-0.0318514961972748
2014,30,0.9515882275712638,1.3012520977233446,2.2578100404816643,0.43592902623935315,0.28725891103723217,0.27681206272290554,1,0,-0.0318514961972748
2014,31,1.193077423462793,0.9331963505046602,2.144298268302502,0.3852838268638148,0.29246238398760716,0.32225378914809216,2,4,-0.0318514961972748
2014,32,0.7828409571978914,1.5147504156158476,2.8355177617837084,0.204560415369339,0.23522514142346096,0.560214443207698,2,2,-0.0318514961972748
2014,33,0.5032045983338971,1.929245504089316,3.392728991071515,0.11161216454276263,0.1767217321219596,0.7116661033348228,0,3,-0.0318514961972748
2014,34,1.3908230217506345,0.9757553903993893,2.8118968237436754,0.3615641629937398,0.27259990284458724,0.365835934161166,2,0,-0.0318514961972748
2014,35,0.5994778840570506,2.29535365041559,3.673655047253301,0.037052429585629446,0.09532662680606258,0.8676209436087473,1,4,-0.0318514961972748
2014,36,1.0429988320624801,1.1219252822472956,2.511169729130048,0.35690976515531586,0.27629030668462584,0.36679992815958085,1,3,-0.0318514961972748
2014,37,1.1302062357314473,1.3992654702567753,2.619769386907639,0.3786191247009167,0.2753103005111857,0.34607057478741415,0,1,-0.0318514961972748
2014,38,0.6069581551679398,1.7410876731768723,2.843697312991612,0.20856341770786876,0.23950887335191243,0.5519277089397242,0,0,-0.0318514961972748
2014,39,0.7870311428897655,1.370951597973505,2.874669344724066,0.27616420568962446,0.2574244341170275,0.4664113601928647,1,4,-0.0318514961972748
2014,40,0.9381137323970066,1.2732891240835256,2.548654392931597,0.24156226852634788,0.26707223371007255,0.4913654977640535,2,1,-0.0318514961972748
2014,41,0.7184937543436999,1.8486062717167964,2.8983447327882828,0.09460979864639804,0.22483924115964532,0.6805509601934637,2,3,-0.0318514961972748
2014,42,1.4621756238724297,1.069694949893818,2.4434497765386607,0.44316974084374894,0.2703984664018136,0.2864317927539505,3,1,-0.0318514961972748
2014,43,0.7366256931262831,1.2493989989464955,2.8980399817829703,0.13239344597784827,0.21417496180164164,0.6534315922200284,0,3,-0.0318514961972748
