year,date,home_team,away_team,h_odds_avg,d_odds_avg,a_odds_avg
2019,2019-07-10,Nigeria,Sudáfrica,2.124,2.884,4.152
2019,2019-07-10,Senegal,Benín,1.368,4.312,10.67
2019,2019-07-08,Ghana,Túnez,2.412,2.888,3.3
2019,2019-07-08,Mali,Costa de Marfil,3.118,2.85,2.576
2019,2019-07-07,Argelia,Guinea,1.612,3.67,6.04
2019,2019-07-07,Madagascar,RD Congo,3.968,3.056,2.08
2019,2019-07-06,Egipto,Sudáfrica,1.544,3.748,6.96
2019,2019-07-06,Nigeria,Camerún,2.496,2.764,3.364
2019,2019-07-05,Uganda,Senegal,7.84,3.748,1.512
2019,2019-07-05,Marruecos,Benín,1.42,3.986,9.67
2019,2019-07-02,Angola,Mali,3.562,2.36,2.814
2019,2019-07-02,Mauritania,Túnez,10.18,5.0,1.308
2019,2019-07-02,Benín,Camerún,4.77,2.81,2.014
2019,2019-07-02,Guinea-Bisáu,Ghana,8.87,4.446,1.376
2019,2019-07-01,Tanzania,Argelia,9.59,5.02,1.322
2019,2019-07-01,Kenia,Senegal,8.29,2.968,1.654
2019,2019-07-01,Namibia,Costa de Marfil,12.4,4.608,1.306
2019,2019-07-01,Sudáfrica,Marruecos,4.354,2.416,2.388
2019,2019-06-30,Uganda,Egipto,7.61,3.322,1.578
2019,2019-06-30,Zimbabue,RD Congo,3.08,3.292,2.29
2019,2019-06-30,Burundi,Guinea,5.21,3.43,1.722
2019,2019-06-30,Madagascar,Nigeria,6.19,2.77,1.826
2019,2019-06-29,Benín,Guinea-Bisáu,1.64,3.566,5.78
2019,2019-06-29,Camerún,Ghana,3.08,2.896,2.538
2019,2019-06-29,Mauritania,Angola,4.62,3.066,1.926
2019,2019-06-28,Sudáfrica,Namibia,1.68,3.61,5.27
2019,2019-06-28,Marruecos,Costa de Marfil,2.21,2.924,3.696
2019,2019-06-28,Túnez,Mali,2.454,2.916,3.174
2019,2019-06-27,Kenia,Tanzania,2.188,3.006,3.676
2019,2019-06-27,Senegal,Argelia,1.99,3.072,4.224
2019,2019-06-27,Madagascar,Burundi,3.162,2.808,2.552
2019,2019-06-26,Egipto,RD Congo,1.35,4.72,9.11
2019,2019-06-26,Uganda,Zimbabue,2.286,2.788,3.746
2019,2019-06-26,Nigeria,Guinea,2.054,3.12,3.906
2019,2019-06-25,Ghana,Benín,1.66,3.422,6.0
2019,2019-06-25,Camerún,Guinea-Bisáu,1.474,3.786,7.93
2019,2019-06-24,Mali,Mauritania,1.726,3.338,5.39
2019,2019-06-24,Túnez,Angola,1.802,3.348,4.714
2019,2019-06-24,Costa de Marfil,Sudáfrica,1.94,3.09,4.448
2019,2019-06-23,Argelia,Kenia,1.642,3.528,5.93
2019,2019-06-23,Senegal,Tanzania,1.27,4.93,13.9
2019,2019-06-23,Marruecos,Namibia,1.3,4.81,11.5
2019,2019-06-22,Guinea,Madagascar,1.774,3.276,5.27
2019,2019-06-22,Nigeria,Burundi,1.466,3.954,7.69
2019,2019-06-22,RD Congo,Uganda,2.198,2.842,3.812
2019,2019-06-21,Egipto,Zimbabue,1.238,5.59,12.7
2017,2017-02-05,Egipto,Camerún,2.816,2.652,3.154
2017,2017-02-04,Burkina Faso,Ghana,3.05,2.98,2.514
2017,2017-02-02,Camerún,Ghana,3.68,2.72,2.47
2017,2017-02-01,Burkina Faso,Egipto,3.784,2.798,2.34
2017,2017-01-29,Egipto,Marruecos,2.922,2.61,3.04
2017,2017-01-29,RD Congo,Ghana,3.64,2.912,2.298
2017,2017-01-28,Senegal,Camerún,2.018,3.0,4.454
2017,2017-01-28,Burkina Faso,Túnez,4.052,3.06,2.088
2017,2017-01-25,Egipto,Ghana,3.23,1.836,4.636
2017,2017-01-25,Uganda,Mali,7.09,3.58,1.586
2017,2017-01-24,Marruecos,Costa de Marfil,3.38,3.064,2.326
2017,2017-01-24,Togo,RD Congo,3.858,3.348,2.012
2017,2017-01-23,Senegal,Argelia,3.448,3.276,2.166
2017,2017-01-23,Zimbabue,Túnez,6.25,3.792,1.58
2017,2017-01-22,Guinea-Bisáu,Burkina Faso,4.288,3.318,1.894
2017,2017-01-22,Camerún,Gabón,2.966,2.994,2.59
2017,2017-01-21,Egipto,Uganda,1.67,3.364,6.27
2017,2017-01-21,Ghana,Mali,2.224,2.974,3.698
2017,2017-01-20,Marruecos,Togo,1.942,3.044,4.75
2017,2017-01-20,Costa de Marfil,RD Congo,1.742,3.26,5.83
2017,2017-01-19,Senegal,Zimbabue,1.488,4.034,7.37
2017,2017-01-19,Argelia,Túnez,2.304,3.062,3.372
2017,2017-01-18,Camerún,Guinea-Bisáu,1.568,3.524,7.49
2017,2017-01-17,Mali,Egipto,4.31,2.966,2.06
2017,2017-01-17,Ghana,Uganda,1.688,3.246,6.57
2017,2017-01-16,RD Congo,Marruecos,3.496,2.784,2.384
2017,2017-01-16,Costa de Marfil,Togo,1.428,4.24,8.45
2017,2017-01-15,Túnez,Senegal,4.266,3.022,2.026
2017,2017-01-15,Argelia,Zimbabue,1.496,3.95,7.11
2017,2017-01-14,Burkina Faso,Camerún,3.78,2.954,2.204
2017,2017-01-14,Gabón,Guinea-Bisáu,1.392,4.282,9.09
2015,2015-02-08,Costa de Marfil,Ghana,2.498,3.048,3.12
2015,2015-02-07,RD Congo,Guinea Ecuatorial,2.376,3.18,3.1
2015,2015-02-05,Ghana,Guinea Ecuatorial,1.694,3.5,5.83
2015,2015-02-04,RD Congo,Costa de Marfil,6.06,3.58,1.646
2015,2015-02-01,Costa de Marfil,Argelia,2.524,2.944,3.17
2015,2015-02-01,Ghana,Guinea,1.876,3.23,4.846
2015,2015-01-31,Túnez,Guinea Ecuatorial,2.062,2.992,4.266
2015,2015-01-31,Congo,RD Congo,3.1,2.758,2.692
2015,2015-01-28,Camerún,Costa de Marfil,3.32,3.108,2.338
2015,2015-01-28,Guinea,Mali,2.9,2.924,2.75
2015,2015-01-27,Senegal,Argelia,2.93,2.958,2.7
2015,2015-01-27,Sudáfrica,Ghana,4.09,3.19,2.048
2015,2015-01-26,Cabo Verde,Zambia,2.556,3.012,3.05
2015,2015-01-26,RD Congo,Túnez,3.8,3.012,2.19
2015,2015-01-25,Congo,Burkina Faso,3.6,3.064,2.23
2015,2015-01-25,Gabón,Guinea Ecuatorial,2.264,3.014,3.57
2015,2015-01-24,Camerún,Guinea,2.018,3.22,4.08
