elite,caf,concacaf,afc,ofc,avg_margin,combo_time_s,pts_2002,margin_2002,time_2002,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
1.25,1.0,1.0,1.05,0.95,14.177303895659742,608.4,52,10.977272727272728,123.8,67,17.328125,139.6,60,16.604651162790695,110.0,62,17.0,119.8,53,8.976470588235294,115.3
1.25,1.0,1.0,1.0,0.95,14.177303895659742,608.5,52,10.977272727272728,122.8,67,17.328125,139.2,60,16.604651162790695,114.5,62,17.0,116.8,53,8.976470588235294,115.1
1.25,1.0,1.05,0.95,0.9,14.177303895659742,608.0,53,11.977272727272728,121.1,66,16.328125,139.1,60,16.604651162790695,117.4,62,17.0,118.5,53,8.976470588235294,111.9
1.25,1.0,1.05,0.95,1.0,14.177303895659742,621.0,53,11.977272727272728,135.2,66,16.328125,137.8,60,16.604651162790695,114.6,62,17.0,118.0,53,8.976470588235294,115.3
1.25,1.0,1.05,0.95,0.95,14.177303895659742,613.4,53,11.977272727272728,118.2,66,16.328125,142.8,60,16.604651162790695,117.1,62,17.0,118.2,53,8.976470588235294,117.2
1.0,1.1,1.1,1.05,0.95,14.177303895659742,503.5,55,13.977272727272728,84.6,66,16.328125,107.2,60,16.604651162790695,101.2,60,15.0,108.8,53,8.976470588235294,101.8
1.0,1.1,1.05,0.95,0.9,14.177303895659742,556.1,55,13.977272727272728,100.0,66,16.328125,112.9,60,16.604651162790695,112.7,60,15.0,118.5,53,8.976470588235294,112.1
1.0,1.0,1.1,1.0,0.9,14.177303895659742,560.0,54,12.977272727272728,103.2,67,17.328125,113.6,60,16.604651162790695,110.3,60,15.0,117.1,53,8.976470588235294,115.8
1.0,1.1,1.1,0.95,0.95,14.177303895659742,504.4,54,12.977272727272728,85.6,67,17.328125,102.0,60,16.604651162790695,102.4,60,15.0,109.1,53,8.976470588235294,105.3
1.25,1.0,1.0,0.95,0.95,14.177303895659742,612.2,52,10.977272727272728,120.2,67,17.328125,137.4,60,16.604651162790695,119.3,62,17.0,118.6,53,8.976470588235294,116.7
1.25,1.0,1.0,1.0,1.0,14.177303895659742,612.3,52,10.977272727272728,118.4,67,17.328125,140.9,60,16.604651162790695,117.6,62,17.0,118.8,53,8.976470588235294,116.7
1.25,1.0,1.1,0.95,0.9,14.177303895659742,568.5,53,11.977272727272728,107.2,66,16.328125,114.8,60,16.604651162790695,114.2,62,17.0,116.3,53,8.976470588235294,116.0
1.2,1.0,1.1,1.05,1.0,14.177303895659742,395.8,53,11.977272727272728,74.7,67,17.328125,80.1,60,16.604651162790695,79.1,61,16.0,81.6,53,8.976470588235294,80.2
