decay_lambda,training_years,regularization,avg_margin,combo_time_s,pts_2002,margin_2002,time_2002,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
0.2,10,0.01,13.177303895659742,503.8,54,12.977272727272727,86.1,65,15.328125,115.8,56,12.604651162790695,93.5,62,17.0,100.8,52,7.976470588235294,107.6
0.2,10,0.001,13.177303895659742,784.6,54,12.977272727272727,159.3,65,15.328125,180.1,56,12.604651162790695,145.3,62,17.0,136.9,52,7.976470588235294,163.0
0.15,16,0.0001,13.177303895659742,1779.1,50,8.977272727272727,345.4,72,22.328125,417.1,58,14.604651162790695,335.7,56,11.0,299.4,53,8.976470588235294,381.4
0.25,16,0.0001,13.177303895659742,1917.6,54,12.977272727272727,448.8,65,15.328125,349.2,60,16.604651162790695,379.2,60,15.0,394.7,50,5.976470588235294,345.7
0.15,16,0.001,13.177303895659742,1411.1,50,8.977272727272727,236.2,72,22.328125,318.8,58,14.604651162790695,274.4,56,11.0,286.5,53,8.976470588235294,295.3
0.25,16,0.01,13.177303895659742,798.6,54,12.977272727272727,141.8,65,15.328125,164.2,60,16.604651162790695,154.7,60,15.0,168.1,50,5.976470588235294,169.9
0.2,10,0.0001,13.177303895659742,1032.5,54,12.977272727272727,181.0,65,15.328125,218.1,56,12.604651162790695,230.6,62,17.0,218.3,52,7.976470588235294,184.4
0.15,10,0.01,12.977303895659741,521.5,52,10.977272727272727,96.3,65,15.328125,115.6,56,12.604651162790695,105.9,62,17.0,101.6,53,8.976470588235294,102.1
0.15,16,0.01,12.977303895659741,823.5,49,7.977272727272727,129.3,72,22.328125,178.8,58,14.604651162790695,167.8,56,11.0,177.6,53,8.976470588235294,170.0
0.15,10,0.001,12.977303895659741,814.2,52,10.977272727272727,145.2,65,15.328125,208.8,56,12.604651162790695,142.7,62,17.0,170.8,53,8.976470588235294,146.7
0.3,8,0.0001,12.977303895659741,760.8,53,11.977272727272727,151.3,64,14.328125,182.2,60,16.604651162790695,128.1,61,16.0,159.7,50,5.976470588235294,139.5
0.3,8,0.001,12.977303895659741,573.5,53,11.977272727272727,95.0,64,14.328125,141.4,60,16.604651162790695,95.8,61,16.0,112.9,50,5.976470588235294,128.3
0.3,8,0.01,12.977303895659741,362.9,53,11.977272727272727,59.1,64,14.328125,83.7,60,16.604651162790695,62.0,61,16.0,80.1,50,5.976470588235294,78.0
0.15,10,0.0001,12.977303895659741,1001.8,52,10.977272727272727,163.8,65,15.328125,237.9,56,12.604651162790695,160.0,62,17.0,214.8,53,8.976470588235294,225.4
0.1,12,0.0001,12.177303895659744,1231.7,44,2.9772727272727266,279.1,73,23.328125,213.7,53,9.604651162790695,252.8,59,14.0,222.5,55,10.976470588235294,263.7
0.1,12,0.001,11.977303895659743,1119.7,43,1.9772727272727266,236.2,73,23.328125,227.3,53,9.604651162790695,228.0,59,14.0,219.2,55,10.976470588235294,209.0
0.15,12,0.01,11.977303895659743,625.8,51,9.977272727272727,107.3,66,16.328125,131.2,55,11.604651162790695,122.7,58,13.0,128.2,53,8.976470588235294,136.4
0.15,12,0.0001,11.977303895659743,1158.0,51,9.977272727272727,220.3,66,16.328125,259.8,55,11.604651162790695,183.9,58,13.0,231.1,53,8.976470588235294,262.9
0.15,12,0.001,11.977303895659743,978.0,51,9.977272727272727,170.0,66,16.328125,197.5,55,11.604651162790695,203.0,58,13.0,197.0,53,8.976470588235294,210.4
0.3,6,0.01,11.977303895659743,262.9,53,11.977272727272727,55.0,64,14.328125,67.1,62,18.604651162790695,46.3,57,12.0,45.6,47,2.976470588235294,49.0
0.1,12,0.01,11.777303895659744,748.1,42,0.9772727272727266,176.1,73,23.328125,168.9,53,9.604651162790695,126.1,59,14.0,125.4,55,10.976470588235294,151.7
0.3,6,0.0001,11.577303895659742,553.3,51,9.977272727272727,111.5,64,14.328125,114.2,62,18.604651162790695,100.6,57,12.0,112.7,47,2.976470588235294,114.3
0.3,6,0.001,11.577303895659742,486.0,51,9.977272727272727,98.5,64,14.328125,146.5,62,18.604651162790695,65.6,57,12.0,87.9,47,2.976470588235294,87.6
0.1,10,0.0001,11.177303895659744,1011.5,43,1.9772727272727266,249.4,68,18.328125,200.2,56,12.604651162790695,172.6,59,14.0,184.8,53,8.976470588235294,204.5
0.1,10,0.001,11.177303895659744,899.0,43,1.9772727272727266,212.5,68,18.328125,221.0,56,12.604651162790695,136.5,59,14.0,157.3,53,8.976470588235294,171.7
0.1,10,0.01,10.777303895659744,619.6,43,1.9772727272727266,170.5,68,18.328125,146.6,54,10.604651162790695,101.4,59,14.0,104.5,53,8.976470588235294,96.6
