year,home_team,away_team,lambda_total,k,prediction,actual,points
2022,Ecuador,Senegal,2.2085058999999996,1.13,1-0,1-2,0
2022,Netherlands,Qatar,3.4897108,1.06,3-0,2-0,1
2022,Wales,England,2.5661148873119997,1.1078603999999999,0-2,0-3,1
2022,Iran,United States,2.3195700750570003,1.1257698999999999,1-0,0-1,0
2022,Australia,Denmark,2.739210957828,1.0948698,0-2,1-0,0
2022,Tunisia,France,2.547068133177,1.1092681,0-2,1-0,0
2022,Poland,Argentina,2.7465184634729995,1.0943133,0-2,0-2,3
2022,Saudi Arabia,Mexico,2.648506876737,1.1017221,0-2,1-2,2
2022,Croatia,Belgium,2.8648289551529995,1.0852077,1-2,0-0,0
2022,Canada,Morocco,2.4202355156249995,1.1185375,1-2,1-2,3
2022,Japan,Spain,2.848029920868,1.0865118,0-2,2-1,0
2022,Costa Rica,Germany,3.6360756,1.06,0-3,2-4,1
2022,Ghana,Uruguay,2.6387260425,1.102455,0-2,0-2,3
2022,South Korea,Portugal,2.704178274192,1.0975283999999998,0-2,2-1,0
2022,Serbia,Switzerland,2.7762633272969994,1.0920410999999999,1-2,2-3,1
2022,Cameroon,Brazil,2.880780294817,1.0839659,0-2,1-0,0
2022,Netherlands,United States,2.531883141732,1.1103874,2-0,3-1,1
2022,Argentina,Australia,2.948849482753,1.0786277,2-0,2-1,2
2022,England,Senegal,2.343028019217,1.1240941,2-0,3-0,1
2022,France,Poland,2.9166569529130006,1.0811603,2-1,3-1,1
2022,Japan,Croatia,2.636163863568,1.1026468,0-2,1-1,0
2022,Brazil,South Korea,2.881669178692,1.0838966,2-0,4-1,1
2022,Morocco,Spain,2.4993994353,1.112773,0-2,0-0,0
2022,Portugal,Switzerland,2.7081454795769995,1.0972281,2-1,6-1,1
2022,Croatia,Brazil,2.7215261527080004,1.0962138,0-2,1-1,0
2022,Netherlands,Argentina,2.5380697190730004,1.1099317,1-2,2-2,0
2022,Morocco,Portugal,2.622859206825,1.1036415,0-2,1-0,0
2022,England,France,2.4337704967680005,1.1175568,2-1,1-2,0
2022,Argentina,Croatia,2.566048686513,1.1078653,2-0,3-0,1
2022,France,Morocco,2.453487418212,1.1161246,2-0,2-0,3
2022,Croatia,Morocco,2.8066610189529992,1.0897073,2-1,2-1,3
2022,Argentina,France,2.4640732964969994,1.1153539,2-1,3-3,0
